variant,splits,rows,positives,top10_capture,auc,pr_auc,brier
Full SDS-KB,11,4077709,202145,0.9866138793785143,0.9950194463416193,0.9131820973355648,0.013061138079412728
No simulated severe store,11,4077709,202145,0.9873291888942713,0.9951794250660115,0.9142544414522842,0.01283811743000619
No prototype affinity,11,4077709,202145,0.9886639112763174,0.995511548319952,0.9180945014011216,0.012925724167440545
No fuzzy concepts,11,4077709,202145,0.9864402758851274,0.9950291465726607,0.9132333958742129,0.012932180452366826
Prototype-only scorer,11,4077709,202145,0.9640678016255197,0.986446120493013,0.8149621768126061,0.019735507071013528
No monotone calibration,11,4077709,202145,0.9866138793785143,0.9950194463416193,0.9131820973355648,0.018280147198009012
