model,splits,rows,positives,top10_capture,auc,pr_auc,brier
LightGBM,11,4077709,202145,0.9923864344466163,0.9963381067403525,0.9358526990046575,0.02110477040903602
XGBoost,11,4077709,202145,0.9879192821385939,0.9955950984147509,0.9259924353093356,0.024241891696471587
CatBoost,11,4077709,202145,0.9868430660351969,0.9953632807501746,0.9196783527977306,0.024940057324265744
SDS-KB,11,4077709,202145,0.9866138793785143,0.9950194463416193,0.9131820973355648,0.013061138079412728
Wang-Mendel,11,4077709,202145,0.9506067756537053,0.9737271826892637,0.8276011630148482,0.0186919171802145
EBM,11,4077709,202145,0.9766290602734969,0.9920479228372922,0.862897896310897,0.015942033726313337
FEPL,11,4077709,202145,0.9496590360083027,0.9716035581729389,0.8091951604958304,0.016131007314463854
Recovery shortfall,11,4077709,202145,0.9426708261694309,0.9687628641545415,0.751917725534177,0.08138172312810316
