variant,splits,rows,positives,top10_capture_mean,top10_capture_std,top10_capture_ci95,auc_mean,auc_std,auc_ci95,pr_auc_mean,pr_auc_std,pr_auc_ci95,brier_mean,brier_std,brier_ci95
Full SDS-KB,11,4077709,202145,0.9866138793785143,0.010298252038833477,0.00608587804529758,0.9950194463416193,0.0012082143176988943,0.0007140090339962978,0.9131820973355648,0.012227849659107117,0.007226197368343785,0.013061138079412784,0.003394904190080478,0.002006260169045143
No simulated severe store,11,4077709,202145,0.9873291888942713,0.009883217366700746,0.005840608227696962,0.9951794250660115,0.0011914261959227498,0.0007040878880237631,0.9142544414522842,0.01264714934373018,0.00747398764725958,0.01283811743000625,0.0033847200778781257,0.0020002417433327576
No prototype affinity,11,4077709,202145,0.9886639112763173,0.009604386168847527,0.005675829519722056,0.995511548319952,0.0011588217489587817,0.0006848198911628551,0.9180945014011216,0.010888130732032632,0.006434474076429112,0.012925724167440594,0.0033860305109220347,0.0020010161597736917
No fuzzy concepts,11,4077709,202145,0.9864402758851274,0.010121065756457296,0.005981167643787223,0.9950291465726607,0.0011638634648639607,0.0006877993548642924,0.913233395874213,0.011983550971552777,0.007081826069848125,0.012932180452366859,0.003363670996293085,0.0019878025310267255
Prototype-only scorer,11,4077709,202145,0.9640678016255197,0.019596647003072988,0.011580878318740183,0.986446120493013,0.002280614850620654,0.001347757250146312,0.8149621768126061,0.020616823910336427,0.012183764344331903,0.019735507071013573,0.00507505874477509,0.002999168060458618
No monotone calibration,11,4077709,202145,0.9866138793785143,0.010298252038833477,0.00608587804529758,0.9950194463416193,0.0012082143176988943,0.0007140090339962978,0.9131820973355648,0.012227849659107117,0.007226197368343785,0.018280147198009054,0.003824759636881002,0.00226028850477339
