variant,splits,rows,positives,top10_capture_mean,top10_capture_std,top10_capture_ci95,auc_mean,auc_std,auc_ci95,pr_auc_mean,pr_auc_std,pr_auc_ci95,brier_mean,brier_std,brier_ci95
Simulation multiplier 0.5,11,4077709,202145,0.9866499076082541,0.010503693676335258,0.006207286294634202,0.9950329636069912,0.001199530209608899,0.0007088770540672184,0.912593076773572,0.012693426415007831,0.00750133564874831,0.013063997330290244,0.003424833720931497,0.0020239473915005094
Simulation multiplier 1,11,4077709,202145,0.9863266751339609,0.010473915759455313,0.006189688670310095,0.9949354463929011,0.0012261258377256694,0.0007245940659102386,0.9120156463596448,0.012458075994221527,0.007362252437984596,0.01319947868518932,0.0034331257238706596,0.0020288476520931515
Simulation multiplier 1.5,11,4077709,202145,0.9860454563128503,0.010489485209155007,0.006198889627108145,0.9948607881299157,0.001216966220463076,0.0007191810780175807,0.9110816635537685,0.011947527555537251,0.007060537591393839,0.013289859733755816,0.003421537909626012,0.002021999691484054
Prototype neighbors 1,11,4077709,202145,0.9861748029865184,0.01040357964714307,0.0061481226841506465,0.9949838584358411,0.0011431354272140124,0.0006755498673997952,0.9130584254377662,0.01182644623666081,0.006988983104528777,0.01244322417802865,0.003347178860645121,0.0019780563016781397
Prototype neighbors 3,11,4077709,202145,0.9861755496609143,0.010198238026837808,0.006026773541200055,0.9948363899589453,0.0012000469220230028,0.0007091824115905021,0.9102805443658002,0.01289101261926932,0.00761810163369743,0.013077046889005335,0.0034502478048512764,0.0020389661553436842
Prototype neighbors 10,11,4077709,202145,0.9870320160392704,0.01019699580025122,0.006026039432199606,0.995105640998534,0.001222357296536871,0.0007223670003852134,0.9139321020594168,0.011445752630815875,0.00676400756022667,0.0132081057659043,0.003465308475765873,0.0020478664430935824
Prototype store 1500,11,4077709,202145,0.9872302644206495,0.009888570294958725,0.005843771606146086,0.9951756049970424,0.0012005924499616106,0.0007095047980005597,0.9145262492238101,0.010913437198448984,0.006449429242391897,0.013231050388714622,0.0034673053504015463,0.0020490465205920383
Prototype store 3000,11,4077709,202145,0.9867327794105868,0.010178345535273912,0.006015017829918328,0.9950440908796014,0.0012197262436906945,0.0007208121475138539,0.9135110219581691,0.011312238332122204,0.006685105651816476,0.013217534447552593,0.003448356302212335,0.0020378483487159624
