protocol,queue,folds,rows,positives,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,pooled_evidence_hit_rate,pooled_severe_cases_per_100_reviews,pooled_evidence_supported_cases_per_100_reviews,top10_capture_mean,top10_capture_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,evidence_hit_rate_mean,evidence_hit_rate_std
cross_year,PE-KB queue,1,4401659,213611,440166,210832,204445,0.9697057372694847,47.89829291676322,46.44724944679962,0.9869903703460964,0.0,0.9940989607813226,0.0,0.8945222863693052,0.0,0.02129687629028069,0.0,0.9697057372694847,0.0
cross_year,LightGBM score + PE-KB evidence,1,4401659,213611,440166,212378,204360,0.9622465603781936,48.24952404320188,46.42793855045596,0.994227825346073,0.0,0.9961686284039608,0.0,0.9350916167804546,0.0,0.018343316186954655,0.0,0.9622465603781936,0.0
