queue,splits,rows,positives,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,aggregate_evidence_hit_rate,aggregate_severe_cases_per_100_reviews,aggregate_evidence_supported_cases_per_100_reviews,top10_capture,auc,pr_auc,brier,evidence_hit_rate,top10_severe_margin_median,top10_normal_margin_median
SDS-KB queue,11,4077709,202145,407775,198930,194119,0.9758156135323983,48.7842560235424,47.60443872233462,0.9866138793785143,0.9950194463416193,0.9131820973355648,0.013061138079412728,0.9744620543358219,1.7849464272387159,0.22693192755536895
LightGBM score queue with SDS-KB evidence,11,4077709,202145,407775,200177,194044,0.9693621145286422,49.090061921402736,47.58604622647293,0.9922596976210524,0.9963456209475883,0.9360117898883845,0.02107555385768092,0.9685929002548165,1.7758212518992444,0.16271985057082558
