protocol,fold,queue,rows,positives,top10_capture,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews
cross_year,train2024_test2025,PE-KB queue,4401659,213611,0.9869903703460964,0.9940989607813226,0.8945222863693052,0.02129687629028069,440166,210832,204445,0.9697057372694847,47.89829291676322,46.44724944679962
cross_year,train2024_test2025,XGBoost score + PE-KB evidence,4401659,213611,0.9869669633118144,0.9951917203683368,0.9250638199124703,0.01914567631493126,440166,210827,204264,0.9688702111209665,47.897156981684184,46.40612859693843
cross_year,train2024_test2025,CatBoost score + PE-KB evidence,4401659,213611,0.987744076849975,0.9951856424052818,0.9193491993483572,0.019573249850081048,440166,210993,204312,0.9683354424080419,47.93487002630825,46.417033573697196
