protocol,queue,folds,rows,positives,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,pooled_evidence_hit_rate,pooled_severe_cases_per_100_reviews,pooled_evidence_supported_cases_per_100_reviews,top10_capture_mean,top10_capture_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,evidence_hit_rate_mean,evidence_hit_rate_std
cross_year,PE-KB queue,1,4401659,213611,440166,210832,204445,0.9697057372694847,47.89829291676322,46.44724944679962,0.9869903703460964,0.0,0.9940989607813226,0.0,0.8945222863693052,0.0,0.02129687629028069,0.0,0.9697057372694847,0.0
cross_year,XGBoost score + PE-KB evidence,1,4401659,213611,440166,210827,204264,0.9688702111209665,47.897156981684184,46.40612859693843,0.9869669633118144,0.0,0.9951917203683368,0.0,0.9250638199124703,0.0,0.01914567631493126,0.0,0.9688702111209665,0.0
cross_year,CatBoost score + PE-KB evidence,1,4401659,213611,440166,210993,204312,0.9683354424080419,47.93487002630825,46.417033573697196,0.987744076849975,0.0,0.9951856424052818,0.0,0.9193491993483572,0.0,0.019573249850081048,0.0,0.9683354424080419,0.0
