variant,splits,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,pooled_evidence_hit_rate,pooled_evidence_supported_cases_per_100_reviews,evidence_hit_rate_mean,evidence_hit_rate_std,margin_gap_mean,margin_gap_std,top10_margin_lift_mean,top10_margin_lift_std,prototype_delay_gap_mean,prototype_delay_gap_std,unique_supported_prototypes_per_100_supported_mean,unique_supported_prototypes_per_100_supported_std,score_pr_auc_mean,score_pr_auc_std,score_brier_mean,score_brier_std
Full SDS-KB,11,407775,198930,194119,0.9758156135323983,47.60443872233462,0.9744620543358219,0.0064967022216277,2.6757038588195527,0.2951238649228395,1.985753742584469,0.6176566127329156,57.36363636363637,1.6292775867068985,24.07985965466399,5.437964379221389,0.9131820973355648,0.012227849659107117,0.013061138079412784,0.003394904190080478
No simulated severe store,11,407775,199100,194139,0.9750828729281767,47.60934338789774,0.97380646448263,0.006422022639457782,2.6757038588195527,0.2951238649228395,2.0066065476585284,0.6220640421209553,57.36363636363637,1.6292775867068985,24.07998613044863,5.438293605651091,0.9142544414522842,0.01264714934373018,0.01283811743000625,0.0033847200778781257
No prototype affinity in scorer,11,407775,199378,194030,0.9731765791611913,47.58261296057875,0.9720686501935366,0.005763835792567054,2.6757038588195527,0.2951238649228395,2.0534899063922705,0.637811925897598,57.36363636363637,1.6292775867068985,24.076456430321183,5.438868867464705,0.9180945014011216,0.010888130732032632,0.012925724167440594,0.0033860305109220347
No fuzzy concepts,11,407775,198910,193759,0.9741038660700819,47.516154742198516,0.9732130200743526,0.005372099792781043,1.6393682965000087,0.17627494300951266,1.1791252273793227,0.3114333945671688,57.27272727272727,1.555050423035156,24.05359263083934,5.376835958803364,0.913233395874213,0.011983550971552777,0.012932180452366859,0.003363670996293085
