split,variant,rows,positives,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,evidence_supported_cases_per_100_reviews,severe_cases_per_100_reviews,margin_gap,top10_margin_lift,prototype_delay_gap,unique_supported_severe_prototypes,unique_supported_prototypes_per_100_supported,score_top10_capture,score_auc,score_pr_auc,score_brier
2025_01_to_2025_02,Full SDS-KB,313896,12510,31390,12394,12023,0.9700661610456672,38.302007008601464,39.48391207390889,2.772421945068846,2.4301124790922635,57.0,3790,31.522914414039757,0.9907274180655475,0.9946567122351437,0.8900799436528378,0.011189851007553474
2025_01_to_2025_02,No simulated severe store,313896,12510,31390,12388,12021,0.9703745560219568,38.295635552723795,39.46479770627588,2.772421945068846,2.453999752996367,57.0,3790,31.528159054987107,0.9902478017585932,0.9947727487550019,0.8916253325140993,0.010916754021632526
2025_01_to_2025_02,No prototype affinity in scorer,313896,12510,31390,12419,12023,0.9681133746678476,38.302007008601464,39.56355527237974,2.772421945068846,2.516652229425313,57.0,3789,31.514597022373785,0.9927258193445244,0.9951668345534332,0.8986382164842786,0.011217174030903946
2025_01_to_2025_02,No fuzzy concepts,313896,12510,31390,12380,12020,0.9709208400646203,38.29244982478496,39.43931188276521,1.7460651297513343,1.3629103649862429,57.0,3769,31.356073211314477,0.9896083133493205,0.994534161048856,0.8900794909531574,0.011040752772034168
2025_02_to_2025_03,Full SDS-KB,378077,15495,37808,15370,14868,0.9673389720234222,39.32501057977148,40.65277190012696,2.4887540853022494,1.8199904154067703,57.0,3928,26.419155232714555,0.9919328815747015,0.9947941599827784,0.8957413560363102,0.010691442034499489
2025_02_to_2025_03,No simulated severe store,378077,15495,37808,15386,14868,0.9663330300272975,39.32501057977148,40.6950909860347,2.4887540853022494,1.8458061103429138,57.0,3928,26.419155232714555,0.9929654727331397,0.9949815123348341,0.8958077925288938,0.010556060984402413
2025_02_to_2025_03,No prototype affinity in scorer,378077,15495,37808,15407,14864,0.9647562796131628,39.31443080829454,40.750634786288614,2.4887540853022494,1.922339359907823,57.0,3928,26.42626480086114,0.9943207486285899,0.9956921787850689,0.904003513725523,0.010497299644028162
2025_02_to_2025_03,No fuzzy concepts,378077,15495,37808,15376,14870,0.9670915712799167,39.33030046550994,40.66864155734236,1.5301037489890152,1.1632105625488842,57.0,3937,26.47612642905178,0.9923201032591158,0.9950053399499484,0.8973994809131481,0.010610720695764818
2025_03_to_2025_04,Full SDS-KB,372996,15580,37300,15475,15032,0.971373182552504,40.30026809651474,41.48793565683646,2.68904537067344,2.3600738776597874,58.0,3957,26.323842469398617,0.9932605905006419,0.995803333884956,0.9147062079823176,0.010882131391617282
2025_03_to_2025_04,No simulated severe store,372996,15580,37300,15485,15032,0.9707458831126897,40.30026809651474,41.51474530831099,2.68904537067344,2.383941273365187,58.0,3957,26.323842469398617,0.9939024390243902,0.9959655404583801,0.9155247961619541,0.010572863867123597
2025_03_to_2025_04,No prototype affinity in scorer,372996,15580,37300,15507,15030,0.9692396982008126,40.29490616621984,41.57372654155496,2.68904537067344,2.4365384578201863,58.0,3955,26.31403858948769,0.9953145057766367,0.9963834989295437,0.919186984396438,0.01057682804058386
2025_03_to_2025_04,No fuzzy concepts,372996,15580,37300,15466,15038,0.9723263933790249,40.316353887399465,41.46380697050938,1.6614970446300985,1.3441329694596182,58.0,3969,26.393137385290597,0.9926829268292683,0.9956939609864938,0.9125498141289468,0.010744415641070353
2025_04_to_2025_05,Full SDS-KB,388315,19642,38832,19432,18944,0.9748867846850556,48.78450762257932,50.04120313143799,2.6346177887956723,1.9992412083149045,57.0,4117,21.73247466216216,0.9893086243763364,0.9953009689062154,0.9196185747413059,0.01259888047747177
2025_04_to_2025_05,No simulated severe store,388315,19642,38832,19454,18944,0.973784311709674,48.78450762257932,50.097857437165224,2.6346177887956723,2.019300057487345,57.0,4117,21.73247466216216,0.9904286732511964,0.9955077515694646,0.9213830268263756,0.01216808385616638
2025_04_to_2025_05,No prototype affinity in scorer,388315,19642,38832,19465,18939,0.9729771384536348,48.77163164400494,50.12618459002884,2.6346177887956723,2.079128173438824,57.0,4117,21.73821215481282,0.9909886976886264,0.9957890100121765,0.924885652577152,0.012344333430212674
2025_04_to_2025_05,No fuzzy concepts,388315,19642,38832,19445,18876,0.9707379789148881,48.60939431396786,50.07468067573136,1.620643966236626,1.2131613522070754,57.0,4126,21.85844458571731,0.9899704714387537,0.9952817844860892,0.9199901314452121,0.012314101519861429
2025_05_to_2025_06,Full SDS-KB,382303,26670,38231,25903,25503,0.9845577732308999,66.7076456278936,67.75391697836834,2.6227292349087397,1.2747100215548142,58.0,4228,16.578441751950752,0.9712410948631421,0.9936936181426848,0.9158850266550491,0.017124275802809556
2025_05_to_2025_06,No simulated severe store,382303,26670,38231,25930,25513,0.9839182414192056,66.73380241165546,67.82454029452539,2.6227292349087397,1.2913871679566178,58.0,4230,16.579782855799003,0.9722534683164604,0.9938894481860068,0.9165202487871428,0.016965707450378745
2025_05_to_2025_06,No prototype affinity in scorer,382303,26670,38231,25967,25465,0.980667770631956,66.6082498495985,67.9213203944443,2.6227292349087397,1.3147824311635694,58.0,4222,16.579619085018653,0.9736407949006374,0.9940450900621166,0.9191966630046465,0.01738676436846749
2025_05_to_2025_06,No fuzzy concepts,382303,26670,38231,25904,25390,0.9801575046324892,66.41207397138447,67.75653265674453,1.585656077948999,0.7781788749939337,58.0,4225,16.64040961008271,0.971278590176228,0.9937635615519773,0.9160691011155077,0.017017954003422923
2025_06_to_2025_07,Full SDS-KB,388190,27986,38819,26991,26588,0.9850690971064429,68.49223318478064,69.5303846054767,2.306858345822659,1.077808669614286,59.0,4273,16.07115992176922,0.96444650896877,0.9935434917493806,0.9217860211381059,0.018866437606917457
2025_06_to_2025_07,No simulated severe store,388190,27986,38819,27048,26604,0.9835847382431233,68.53345011463459,69.67721991808135,2.306858345822659,1.0859843411173182,59.0,4276,16.07277101187791,0.9664832416208105,0.9937648850882672,0.923940420615212,0.018475291720012953
2025_06_to_2025_07,No prototype affinity in scorer,388190,27986,38819,27108,26577,0.9804116865869854,68.46389654550606,69.83178340503362,2.306858345822659,1.1036435683586407,59.0,4269,16.062761033976745,0.9686271707282212,0.9941122239355185,0.926465303402337,0.018520043722662406
2025_06_to_2025_07,No fuzzy concepts,388190,27986,38819,27000,26487,0.981,68.23205131507767,69.55356912851954,1.4237788265516886,0.6983890369561132,59.0,4250,16.04560727904255,0.9647680983348818,0.9936137505774288,0.9233644738246498,0.01862747713870153
