split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_11_to_2025_12,SDS-KB,4,0.26666666666666666,0.3333333333333333,1164,0.29026862162146694,0.10652920962199312
2025_11_to_2025_12,SDS-KB,5,0.3333333333333333,0.4,1577,0.37197076782026095,0.1483830057070387
2025_11_to_2025_12,SDS-KB,6,0.4,0.4666666666666667,1775,0.4431084508319437,0.21183098591549296
2025_11_to_2025_12,SDS-KB,7,0.4666666666666667,0.5333333333333333,1527,0.5169775176388294,0.2632612966601179
2025_11_to_2025_12,SDS-KB,8,0.5333333333333333,0.6,2,0.5627536642967892,0.5
2025_11_to_2025_12,SDS-KB,9,0.6,0.6666666666666666,2002,0.6201443519162303,0.35564435564435565
2025_11_to_2025_12,SDS-KB,10,0.6666666666666666,0.7333333333333333,1594,0.6798339745695313,0.41468005018820575
2025_11_to_2025_12,SDS-KB,11,0.7333333333333333,0.8,2012,0.7642287442177821,0.5029821073558648
2025_11_to_2025_12,SDS-KB,12,0.8,0.8666666666666667,1777,0.840740953572522,0.610579628587507
2025_11_to_2025_12,SDS-KB,13,0.8666666666666667,0.9333333333333333,2167,0.889398558114718,0.6728195662205815
2025_11_to_2025_12,SDS-KB,14,0.9333333333333333,1.0,16184,0.9717120743042289,0.9033613445378151
