case,split,carrier,path,delay,risk,severe_distance,normal_distance,distance_margin,active_concepts,nearest_severe_path,nearest_severe_delay,nearest_normal_path,nearest_normal_delay
2025_08_to_2025_09_case3,2025_08_to_2025_09,AA,DFW->CLE->DFW,130.0,1.0,1.179677745578277,7.632522326112247,6.45284458053397,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,BNA->CMH->AUS,95.0,DFW->COS->DFW,0.0
2025_08_to_2025_09_case4,2025_08_to_2025_09,AA,DFW->MCO->DFW,121.0,1.0,1.0331944508068425,7.136023377916186,6.102828927109344,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,LIT->DAL->PHX,113.0,DFW->COS->DFW,0.0
2025_08_to_2025_09_case5,2025_08_to_2025_09,WN,DTW->STL->PHX,240.0,1.0,2.119564717936198,13.666796656833085,11.547231938896887,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,MIA->SJU->MIA,235.0,DFW->EWR->SMF,29.0
2025_09_to_2025_10_case1,2025_09_to_2025_10,WN,ONT->SMF->PDX,69.0,1.0,0.5889600253539145,7.7032626896218135,7.114302664267899,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,LAX->SMF->PDX,70.0,DFW->MYR->DFW,23.0
2025_09_to_2025_10_case2,2025_09_to_2025_10,AA,ORD->GEG->ORD,103.0,1.0,1.438429482887416,8.217566153930974,6.779136671043558,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DFW->MRY->DFW,94.0,ATL->DAL->BOS,0.0
2025_09_to_2025_10_case3,2025_09_to_2025_10,DL,MYR->LGA->RSW,123.0,1.0,1.6894816809081532,8.171640333304058,6.4821586523959045,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,IAH->PHL->IAH,84.0,SAN->OAK->LAX,0.0
2025_09_to_2025_10_case4,2025_09_to_2025_10,UA,EWR->JAX->EWR,195.0,1.0,2.9506034492255404,12.465786699145806,9.515183249920266,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,ORD->RDU->EWR,203.0,SAN->OAK->LAX,0.0
2025_09_to_2025_10_case5,2025_09_to_2025_10,DL,BOS->MCI->LGA,222.0,1.0,1.7189242067293313,14.715147700271283,12.996223493541951,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,AUS->DAL->BWI,198.0,SAN->OAK->LAX,0.0
2025_10_to_2025_11_case1,2025_10_to_2025_11,WN,LAS->SLC->LAS,87.0,1.0,0.5236361865943111,8.71416585218424,8.190529665589928,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,MDW->CLE->BWI,58.0,HOU->AUS->HRL,0.0
2025_10_to_2025_11_case2,2025_10_to_2025_11,AA,ORD->BOS->ORD,120.0,1.0,0.9429006415498344,10.26722755555552,9.324326914005685,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,LAS->MCI->PHX,120.0,HOU->AUS->HRL,0.0
2025_10_to_2025_11_case3,2025_10_to_2025_11,UA,IAD->EWR->SRQ,125.0,1.0,1.1957906912671497,10.016737743971778,8.820947052704629,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,MCO->LGA->DFW,96.0,HOU->AUS->HRL,0.0
2025_10_to_2025_11_case4,2025_10_to_2025_11,WN,ATL->DAL->LAS,111.0,1.0,1.1655569218286739,3.3896764811219326,2.2241195592932588,buffer failure; upstream delay; recovery shortfall; tight turnaround,MCO->AUS->LAS,95.0,MCO->LGA->MCO,0.0
2025_10_to_2025_11_case5,2025_10_to_2025_11,AA,PHL->MCO->PHL,100.0,1.0,0.9273721238301016,9.544667176170165,8.617295052340063,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,ECP->BNA->PHL,109.0,HOU->AUS->HRL,0.0
2025_11_to_2025_12_case1,2025_11_to_2025_12,WN,SAN->SJC->SNA,94.0,1.0,0.5340295898187822,5.071200854487864,4.537171264669081,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SNA->OAK->PSP,96.0,STS->SNA->STS,0.0
2025_11_to_2025_12_case2,2025_11_to_2025_12,WN,AUS->SJC->SNA,103.0,1.0,0.5864682180560256,5.074639233504108,4.488171015448082,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SNA->OAK->PSP,90.0,STS->SNA->STS,0.0
2025_11_to_2025_12_case3,2025_11_to_2025_12,WN,SLC->SMF->LGB,99.0,1.0,0.4827882921761445,4.930662128274666,4.4478738360985215,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SNA->OAK->PSP,96.0,STS->SNA->STS,0.0
2025_11_to_2025_12_case4,2025_11_to_2025_12,OO,SNA->STS->LAX,98.0,1.0,0.5491528301841555,5.20762100906115,4.658468178876994,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DFW->MFE->DFW,83.0,STS->SNA->STS,0.0
2025_11_to_2025_12_case5,2025_11_to_2025_12,WN,SAN->SJC->SNA,57.0,1.0,0.4835319960014658,3.962332143111335,3.4788001471098693,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SAN->OAK->LGB,52.0,DAL->HRL->AUS,22.0
