concept,active_rate_mean,active_rate_std,membership_mean,membership_std
Buffer,0.7199928805310355,0.011112943438423215,0.6965164075826525,0.008712543671635039
Recurrence,0.3118040322414315,0.01636931872792335,0.3099419799554827,0.015662021067515165
Congested,0.14961268647176088,0.02181281846287513,0.24043278473798466,0.01724681654262182
Upstream,0.7325210140482593,0.01572736203928403,0.7185951258873072,0.011998151711511884
Shortfall,0.6973942704895775,0.011145341427513148,0.681686740986155,0.008807948770200675
Tight turn,0.9172152035532215,0.008678333917754494,0.8365003944634364,0.011650123364276684
